Locus tag,Locus,log_fc,pvalue
Rv2096c,pafB,-0.25306926456137235,0.19
Rv2394,ggtB,-0.25211901477401183,0.3715
Rv2467,pepN,-0.252092529386202,0.0696
Rv0289,espG3,-0.2518931208884929,0.4566
Rv2852c,mqo,-0.2510426389686165,0.1926
Rv0979A,rpmF,-0.25086027712645115,0.9526
Rv3143,,-0.25070940447836965,0.8073
Rv2212,,-0.2501519397250641,0.1632
Rv3515c,fadD19,-0.24764618881211564,0.0603
Rv0281,,-0.24744256360627054,0.2121
Rv1600,hisC1,-0.2474307797312153,0.0952
Rv2922c,smc,-0.24743041953061617,0.1013
Rv2439c,proB,-0.2468876859042791,0.2917
Rv3730c,,-0.246084638889276,0.1073
Rv3907c,pcnA,-0.24503865012756737,0.1053
Rv2411c,,-0.24496719023773939,0.1747
Rv2198c,mmpS3,-0.24412396507933806,0.5284
Rv1193,fadD36,-0.24278229475544244,0.1585
Rv2222c,glnA2,-0.241786941416985,0.2285
Rv3432c,gadB,-0.241630787494247,0.1517
Rv3286c,sigF,-0.24105508680784404,0.5541
Rv0023,,-0.2395826566131026,0.3752
Rv2125,,-0.23887981359361904,0.3674
Rv1879,,-0.2380779290450157,0.1501
Rv1925,fadD31,-0.23793119611678787,0.141
Rv1202,dapE,-0.23782915595058135,0.0997
Rv0855,far,-0.2378247471523868,0.2641
Rv0376c,,-0.2369956928490475,0.1602
Rv2364c,era,-0.23648277116440755,0.0946
Rv1730c,,-0.23595284369600963,0.2756
Rv1516c,,-0.23549355599670724,0.1825
Rv0597c,,-0.23530390007454524,0.2205
Rv2531c,,-0.2349753610819987,0.1713
Rv0062,celA1,-0.23472158002019328,0.4348
Rv1162,narH,-0.23455579568826349,0.6828
Rv0516c,,-0.23432780473988402,0.695
Rv0565c,,-0.23412384294811475,0.0595
Rv2416c,eis,-0.23364081892668553,0.1696
Rv2426c,,-0.23339195109569996,0.5689
Rv3117,cysA3,-0.2332879753896575,0.306
Rv0815c,cysA2,-0.2332879753896575,0.306
Rv0800,pepC,-0.23229811219595914,0.2734
Rv1106c,,-0.23201080159525736,0.2552
Rv0792c,,-0.23195584062737878,0.5358
Rv3001c,ilvC,-0.23180981115047247,0.3312
Rv0931c,pknD,-0.23078756402002007,0.3873
Rv2506,,-0.23058682708128903,0.4041
Rv2731,,-0.2304767215680464,0.3315
Rv1235,lpqY,-0.2303205726123666,0.2465
Rv1084,,-0.229913853170748,0.2108
Rv2501c,accA1,-0.22963223614593165,0.3393
Rv2854,,-0.22962179945464728,0.3658
Rv1723,,-0.22886222292974695,0.4763
Rv2342,,-0.2283456183735635,0.5577
Rv1485,hemZ,-0.22770888410598375,0.2274
Rv2211c,gcvT,-0.22686341678408792,0.2719
Rv0551c,fadD8,-0.2263935297614004,0.1335
Rv0060,,-0.2258473269954077,0.244
Rv1063c,,-0.22583075893003254,0.2299
Rv2139,pyrD,-0.2258181351485262,0.2883
Rv3778c,,-0.22558691163136743,0.1335
Rv1397c,vapC10,-0.22401066310132325,0.8983
Rv3859c,gltB,-0.22277750234067864,0.3534
Rv1998c,,-0.2226821519397585,0.2488
Rv0904c,accD3,-0.2217295357889291,0.1238
Rv1071c,echA9,-0.2213198518419563,0.2071
Rv1384,carB,-0.22119273841661555,0.3305
Rv3863,,-0.2205367938670825,0.0866
Rv1710,scpB,-0.22053614137633262,0.6987
Rv2157c,murF,-0.2205182449381732,0.0782
Rv3797,fadE35,-0.22002296024840357,0.1051
Rv3860,,-0.21995357432580706,0.3599
Rv1563c,treY,-0.21912193327271895,0.215
Rv2842c,,-0.21905173597923272,0.6476
Rv2845c,proS,-0.2188640383147226,0.1146
Rv0803,purL,-0.21836774704957165,0.1148
Rv3196A,,-0.21795406714349963,0.4494
Rv2950c,fadD29,-0.21762945136440953,0.5452
Rv3264c,manB,-0.217533347500969,0.2013
Rv3457c,rpoA,-0.2174173167823885,0.2536
Rv1878,glnA3,-0.21700545576495908,0.0639
Rv2442c,rplU,-0.21675143488649237,0.6343
Rv2213,pepB,-0.21674266277690962,0.3224
Rv2441c,rpmA,-0.21644303514634894,0.6114
Rv0465c,,-0.21586144807575122,0.273
Rv0910,,-0.21581330772830495,0.7932
Rv0409,ackA,-0.21561209977396467,0.0393
Rv1632c,,-0.2148746781631418,0.5357
Rv0820,phoT,-0.2146249623499342,0.469
Rv3421c,,-0.2145112077875117,0.7844
Rv0642c,mmaA4,-0.21440471718462986,0.2524
Rv0337c,aspC,-0.21414041315636814,0.2624
Rv3876,espI,-0.21292768705531856,0.4621
Rv2471,aglA,-0.2125270832504366,0.0537
Rv2338c,moeW,-0.21198817784849117,0.0453
Rv0639,nusG,-0.2118584348041817,0.1399
Rv3680,,-0.21105641084073676,0.1899
Rv2992c,gltS,-0.2109877480107828,0.0467
Rv3878,espJ,-0.21083758350441395,0.5543
Rv0300,vapB2,-0.21083095477711744,0.7781
Rv0853c,pdc,-0.21071381372364234,0.17
Rv3499c,mce4A,-0.21031522755892518,0.9624
Rv1074c,fadA3,-0.2100196891802981,0.2606
Rv0635,hadA,-0.20956409308842658,0.1685
Rv3153,nuoI,-0.20913531580203598,0.604
Rv2159c,,-0.20761973545330117,0.1774
Rv2839c,infB,-0.20745300406751827,0.2854
Rv3772,hisC2,-0.206666874915632,0.268
Rv2444c,rne,-0.20640354108909198,0.2332
Rv2696c,,-0.20581434521650321,0.2386
Rv2319c,,-0.20547187233097114,0.1566
Rv3758c,proV,-0.20499563057979253,0.5603
Rv2282c,,-0.20429498163136062,0.5885
Rv2462c,tig,-0.2040180742409892,0.1607
Rv2953,,-0.20315843132276326,0.2959
Rv0861c,ercc3,-0.20191360631464877,0.1021
Rv0182c,sigG,-0.20112076378242724,0.1539
Rv2888c,amiC,-0.20108156078649952,0.0012
Rv3535c,hsaG,-0.20042001373430982,0.131
Rv2984,ppk1,-0.2003283018757066,0.1659
Rv2859c,,-0.19999083714604687,0.2837
Rv1387,PPE20,-0.1999283935389133,0.0499
Rv1901,cinA,-0.19912383904017472,0.1901
Rv0714,rplN,-0.19910813867613097,0.8371
Rv2858c,aldC,-0.19875108558194063,0.1317
Rv3696c,glpK,-0.19858812969297748,0.0942
Rv1143,mcr,-0.19850185497322503,0.3092
Rv1745c,idi,-0.19806353183016315,0.7425
Rv0630c,recB,-0.19754615073802,0.3433
Rv2237,,-0.1969978129469159,0.6426
Rv3280,accD5,-0.1969714959826729,0.1622
Rv2689c,,-0.19665080025835288,0.2401
Rv2580c,hisS,-0.1955624937447073,0.2636
Rv3032,,-0.1955405957075627,0.3472
Rv1173,fbiC,-0.19509547813608955,0.4026
Rv0631c,recC,-0.19486883868284438,0.3791
Rv0174,mce1F,-0.19477251495919648,0.5617
Rv0938,ligD,-0.19456344747406185,0.3076
Rv0357c,purA,-0.19404490534821844,0.2433
Rv1260,,-0.1932388958382172,0.2686
Rv1230c,,-0.1922818502584298,0.4552
Rv0959,,-0.1922222012625054,0.3799
Rv0547c,,-0.19202205036314088,0.2575
Rv3800c,pks13,-0.19188558405050743,0.2391
Rv2703,sigA,-0.19127585695797514,0.3617
Rv1114,vapC32,-0.19063797005800862,0.9213
Rv2756c,hsdM,-0.19046857121398497,0.7688
Rv1832,gcvB,-0.18987463128604187,0.3108
Rv0897c,,-0.18976127944532378,0.0209
Rv2568c,,-0.1897268784486662,0.2928
Rv1990c,,-0.18956931331723323,0.354
Rv2962c,,-0.18927488739713455,0.3934
Rv3719,,-0.18923049529163793,0.2537
Rv3858c,gltD,-0.18899399699793,0.091
Rv0470c,pcaA,-0.18859824940764142,0.8222
Rv1323,fadA4,-0.18837647660117296,0.4094
Rv3146,nuoB,-0.1874748628466588,0.6796
Rv3723,,-0.18744303974690155,0.6038
Rv2225,panB,-0.18593627003724134,0.2455
Rv2386c,mbtI,-0.18569692615188776,0.1276
Rv3009c,gatB,-0.18566232270272848,0.2395
Rv1112,,-0.18552427900560645,0.2699
Rv0668,rpoC,-0.18487052636337295,0.4688
Rv3241c,,-0.18385517868281465,0.704
Rv1798,eccA5,-0.18231185906356193,0.397
Rv2753c,dapA,-0.18223324914543562,0.0427
Rv3509c,ilvX,-0.18223243714654697,0.1639
Rv3918c,parA,-0.18204222038004358,0.4514
Rv2677c,hemY,-0.18156959227270048,0.3066
Rv3644c,,-0.1804655739132895,0.1135
Rv1299,prfA,-0.18034161738764917,0.1738
Rv0873,fadE10,-0.17984552438588317,0.1443
Rv2725c,hflX,-0.179488941119439,0.3799
Rv3701c,egtD,-0.17903530391714367,0.0809
Rv1914c,,-0.17885152629789047,0.4727
Rv2051c,ppm1,-0.17867801207944228,0.3947
Rv3058c,,-0.1783561107983452,0.7824
Rv3157,nuoM,-0.17661592004290738,0.9405
Rv2981c,ddlA,-0.17660422832984085,0.2974
Rv0670,end,-0.17655394339027594,0.7875
Rv0722,rpmD,-0.17622770271965127,0.6874
Rv2153c,murG,-0.176217445325797,0.2289
Rv1697,,-0.17598462554967814,0.7345
Rv2315c,,-0.17176360610638067,0.0799
Rv2857c,,-0.16996518731509863,0.4081
Rv0809,purM,-0.1685797507756746,0.1829
Rv0536,galE3,-0.16843865633320249,0.3491
Rv1154c,,-0.16836186576186615,0.2629
Rv0407,fgd1,-0.1680072457583944,0.4242
Rv2739c,,-0.16727986713207327,0.2877
Rv3417c,groEL1,-0.16665215633087202,0.192
Rv2794c,pptT,-0.16641241425748612,0.7616
Rv3342,,-0.16601522936163596,0.7239
Rv1511,gmdA,-0.16389043894882704,0.3782
Rv2614c,thrS,-0.16358425365119975,0.4353
Rv3044,fecB,-0.16353907121892014,0.4768
Rv1442,bisC,-0.16351978733011924,0.5341
Rv0415,thiO,-0.16350750067499473,0.4067
Rv2088,pknJ,-0.16290206415770095,0.5033
Rv0427c,xthA,-0.16255475471299977,0.2578
Rv0264c,,-0.16159775859351583,0.9379
Rv3490,otsA,-0.16076927272365577,0.2554
Rv3045,adhC,-0.16030015136972975,0.3979
Rv2156c,murX,-0.16029091723715885,0.9652
Rv2926c,,-0.15987159703142892,0.7305
Rv0234c,gabD1,-0.1594910941368358,0.175
Rv2089c,pepE,-0.15946196053185993,0.2212
Rv3269,,-0.15840671033625903,0.857
Rv1559,ilvA,-0.1578440351380075,0.3436
Rv0179c,lprO,-0.1567687915581606,0.4568
Rv0726c,,-0.15590613035072837,0.1338
Rv1894c,,-0.1552792627177868,0.2044
Rv2314c,,-0.1551818939814204,0.3285
Rv3879c,espK,-0.15504633274080803,0.4066
Rv0400c,fadE7,-0.1547864719532728,0.328
Rv3274c,fadE25,-0.15450183188848632,0.4514
Rv2299c,htpG,-0.1544155416458772,0.2214
Rv2674,msrB,-0.15381100748062762,0.7336
Rv0667,rpoB,-0.15334853453695038,0.6692
Rv0721,rpsE,-0.15322752274194334,0.6156
Rv1007c,metS,-0.15302961727504064,0.2019
Rv1850,ureC,-0.15293120036575308,0.6076
Rv1077,cbs,-0.15239740069390117,0.1076
Rv2026c,,-0.15239092647298708,0.8293
Rv0636,hadB,-0.15231592321791193,0.1529
Rv1629,polA,-0.15159841578717925,0.5628
Rv0173,lprK,-0.1510779540674497,0.5821
Rv2510c,,-0.15096169317234176,0.2549
Rv2502c,accD1,-0.1506363241929829,0.2516
Rv1649,pheS,-0.15035600222969445,0.3914
Rv2954c,,-0.14960113011370943,0.6934
Rv1905c,aao,-0.1493784669311113,0.4117
Rv3140,fadE23,-0.14899916810881206,0.3712
Rv0957,purH,-0.14782890080398806,0.1171
Rv1781c,malQ,-0.14765951345821327,0.5728
Rv3227,aroA,-0.14675690427486174,0.3396
Rv3624c,hpt,-0.1466777680457114,0.8265
Rv2585c,,-0.14578269930510798,0.6242
Rv1785c,cyp143,-0.14573805481092103,0.4862
Rv3207c,,-0.14496389739385765,0.2057
Rv0983,pepD,-0.14475527033769423,0.3616
Rv1812c,,-0.14393145282660633,0.3868
Rv3661,,-0.1439055260207559,0.6154
Rv1612,trpB,-0.143738586616123,0.4385
Rv2350c,plcB,-0.14362383079497726,0.361
Rv1978,,-0.14229360342813127,0.6073
Rv0186,bglS,-0.1420556340236409,0.3431
Rv2989,,-0.14150356402828543,0.5871
Rv1454c,qor,-0.14082637344713828,0.4229
Rv1079,metB,-0.14059303509964388,0.3299
Rv3779,,-0.140432230425131,0.7024
Rv0075,,-0.14007174474912656,0.3906
Rv2494,vapC38,-0.1399034085256266,0.8452
Rv3546,fadA5,-0.13989998640989765,0.4175
Rv0703,rplW,-0.13958752841413644,0.7658
Rv0852,,-0.13952716371236948,0.661
Rv2241,aceE,-0.13896559418098087,0.3708
Rv1422,,-0.1388967058802865,0.4271
Rv2302,,-0.13852146992541756,0.7036
Rv1308,atpA,-0.13823366396487502,0.5145
Rv3223c,sigH,-0.13812081453699215,0.6539
Rv2138,lppL,-0.1380699129362087,0.6345
Rv2405,,-0.13793149678732378,0.7736
Rv0425c,ctpH,-0.13787578482234036,0.1838
Rv1011,ispE,-0.13615866162555473,0.3452
Rv2205c,,-0.1360521255554329,0.5949
Rv2623,TB31.7,-0.1354111063749073,0.7312
Rv2868c,gcpE,-0.13517818076871108,0.3361
Rv3667,acs,-0.13515184646774875,0.4578
Rv0753c,mmsA,-0.1341877713429239,0.3334
Rv0413,mutT3,-0.13306594025311128,0.918
Rv1264,,-0.13211237013711263,0.3965
Rv3679,,-0.131402771586805,0.419
Rv2361c,,-0.13128372124923424,0.8397
Rv2569c,,-0.13123343414895144,0.3666
Rv2986c,hupB,-0.13061502910877842,0.9741
Rv3534c,hsaF,-0.13048597769753667,0.4815
Rv3458c,rpsD,-0.13019808620491616,0.85
Rv2071c,cobM,-0.1301146664192832,0.5314
Rv1324,,-0.12994439210190328,0.3653
Rv1263,amiB2,-0.12981226330516119,0.6363
Rv1593c,,-0.12931073736581203,0.8948
Rv1191,,-0.1292593811698369,0.8095
Rv2175c,,-0.1286389525526037,0.6964
Rv2581c,,-0.12825139958740586,0.8258
Rv0077c,,-0.1275963121962481,0.9416
Rv3818,,-0.12752652384283772,0.3184
Rv2795c,,-0.12731179341209561,0.6589
Rv2548A,,-0.1269531749936569,0.8804
Rv0743c,,-0.12690297581991664,0.8609
Rv1093,glyA1,-0.12646926042221013,0.4435
Rv3158,nuoN,-0.12608464147785137,0.6063
Rv0242c,fabG4,-0.1246329966941355,0.5226
Rv2357c,glyS,-0.12458593542982525,0.3874
Rv2589,gabT,-0.1243827966883573,0.4769
Rv0940c,,-0.12305105264752077,0.7935
Rv2678c,hemE,-0.12297763093366461,0.6278
Rv2786c,ribF,-0.12272785124449276,0.4933
Rv1531,,-0.122312037547329,0.9507
Rv2243,fabD,-0.12230665371022756,0.8042
Rv0801,,-0.12205718886448276,0.9828
Rv1551,plsB1,-0.12165892040496888,0.9565
Rv1295,thrC,-0.12118491113601984,0.4279
Rv1729c,,-0.12058476462622227,0.5408
Rv0117,oxyS,-0.11986571089214466,0.8218
Rv0050,ponA1,-0.1191678529621956,0.6916
Rv1360,,-0.11850063809745819,0.3186
Rv0704,rplB,-0.11786934642179295,0.6762
Rv3913,trxB2,-0.11785575345300174,0.5423
Rv2351c,plcA,-0.1178216220033753,0.5299
Rv1062,,-0.11725082513193365,0.5737
Rv1293,lysA,-0.1159529695052315,0.4606
Rv2448c,valS,-0.11588743296150521,0.4943
Rv3505,fadE27,-0.11524792028470872,0.3107
Rv0169,mce1A,-0.11434624716866781,0.7061
Rv3846,sodA,-0.11422882795223609,0.291
Rv3226c,,-0.1140966489443087,0.4672
Rv0700,rpsJ,-0.11395598752526734,0.9102
Rv0139,,-0.11223419031803236,0.5777
Rv3339c,icd1,-0.11207184004355888,0.5421
Rv0352,dnaJ1,-0.1118491917544967,0.6221
Rv0171,mce1C,-0.11169624455947796,0.6726
Rv0323c,,-0.11134177044987753,0.6061
Rv2298,,-0.11115394558945339,0.1856
Rv1336,cysM,-0.11103498963056423,0.4527
Rv2667,clpC2,-0.11100093450804462,0.8452
Rv1363c,,-0.11093879446653442,0.5816
Rv2509,,-0.11087348118129368,0.8036
Rv2165c,,-0.11069135795497557,0.3041
Rv1564c,treX,-0.11034712047874279,0.4606
Rv2850c,,-0.11015329977478719,0.4067
Rv2289,cdh,-0.10982993416098284,0.6423
Rv0568,cyp135B1,-0.1095965051139298,0.4667
Rv2344c,dgt,-0.10904696999519194,0.1903
Rv0136,cyp138,-0.10866724557481224,0.8409
Rv0074,,-0.10837716560412447,0.5502
Rv0347,,-0.10837111888289103,0.8425
Rv1366,,-0.1077595372104758,0.7821
Rv2970c,lipN,-0.10756046137517902,0.5917
Rv0902c,prrB,-0.10739778212562613,0.7645
Rv0946c,pgi,-0.1072436614396207,0.2878
Rv3598c,lysS,-0.1069170935556036,0.3532
Rv2535c,pepQ,-0.10637214540649188,0.5525
Rv1650,pheT,-0.10614221604240469,0.57
Rv0533c,fabH,-0.10591690737470143,0.5653
Rv1728c,,-0.10566060743584658,0.7155
Rv3392c,cmaA1,-0.10529447519742578,0.9575
Rv3088,tgs4,-0.10488990452521849,0.6821
Rv2947c,pks15,-0.10426635628883775,0.79
Rv3625c,mesJ,-0.10362368651836126,0.8028
Rv3700c,egtE,-0.10348707470480568,0.4536
Rv2037c,,-0.10339314922042793,0.4358
Rv2249c,glpD1,-0.10206391944734114,0.47
Rv2388c,hemN,-0.10204129873260914,0.606
Rv0960,vapC9,-0.1014452415786565,0.6186
Rv1680,,-0.10126460811850857,0.8954
Rv1977,,-0.10062424778933145,0.4196
Rv0162c,adhE1,-0.10033972284078146,0.561
Rv1166,lpqW,-0.09986729379081402,0.8783
Rv1330c,pncB1,-0.09927155547719503,0.4894
Rv0888,,-0.09857873764980822,0.5874
Rv0562,grcC1,-0.09845789936121824,0.5511
Rv3301c,phoY1,-0.09810708599538942,0.9991
Rv2151c,ftsQ,-0.09729137225555277,0.6548
Rv0592,mce2D,-0.09693852116974322,0.8804
Rv3574,kstR,-0.09600158464129571,0.9615
Rv3120,,-0.09533114524683188,0.9582
Rv0456c,echA2,-0.09427389429623298,0.648
Rv0163,,-0.09285678312786587,0.3278
Rv3012c,gatC,-0.09285199814160738,0.6272
Rv3057c,,-0.0927951435080372,0.8344
Rv1464,csd,-0.09239365821519094,0.436
Rv3401,,-0.09183632336483011,0.5779
Rv1266c,pknH,-0.09107269917549198,0.6503
Rv0227c,,-0.09076743069969102,0.7696
Rv2764c,thyA,-0.09026770349279183,0.9128
Rv3139,fadE24,-0.0897020482415165,0.6596
Rv0232,,-0.08951263918763705,0.9685
Rv3014c,ligA,-0.08947549273908703,0.6749
Rv3834c,serS,-0.08785287149362983,0.5311
Rv3040c,,-0.08708662472058303,0.6908
Rv1391,dfp,-0.08629157436236932,0.6165
Rv1142c,echA10,-0.08625913018346987,0.9187
Rv2326c,,-0.0859796105375466,0.7585
Rv2115c,mpa,-0.08563860753584004,0.7234
Rv3803c,fbpD,-0.08492380099008642,0.9517
Rv2427c,proA,-0.0841662756864918,0.5558
Rv0734,mapA,-0.08414824080295086,0.9193
Rv3313c,add,-0.08323678846067714,0.5784
Rv0051,,-0.08304587223451407,0.8671
Rv0499,,-0.08255491548085926,0.7472
Rv1288,,-0.08194734317173813,0.8792
Rv2564,glnQ,-0.08117899806908697,0.793
Rv3398c,idsA1,-0.08114146946115551,0.9807
Rv3384c,vapC46,-0.08090868528037189,0.8819
Rv1876,bfrA,-0.08016026348666348,0.5941
Rv3709c,ask,-0.07972803494379749,0.599
Rv0995,rimJ,-0.07971158619275265,0.933
Rv3011c,gatA,-0.0794092521015651,0.5209
Rv0951,sucC,-0.0792746334722824,0.6326
Rv1328,glgP,-0.07908356562822297,0.7659
Rv0418,lpqL,-0.07895938297400446,0.7319
Rv0014c,pknB,-0.07871159317180174,0.7535
Rv2503c,scoB,-0.07801502134634569,0.8777
Rv0348,,-0.07788284732897095,0.7654
Rv0777,purB,-0.07784280443490892,0.5989
Rv0293c,,-0.07777857785520774,0.4646
Rv0296c,,-0.07772358266566472,0.4621
Rv0503c,cmaA2,-0.07771276924266471,0.7857
Rv1868,,-0.07758267969695903,0.8663
Rv0045c,,-0.07731554692595259,0.8881
Rv2995c,leuB,-0.07672491496014794,0.5857
Rv1248c,,-0.07644884467827374,0.6889
Rv0812,,-0.0762019029391669,0.9194
Rv2724c,fadE20,-0.07569244275325462,0.6693
Rv1245c,,-0.07562317040726795,0.7915
Rv3422c,,-0.07501638227394557,0.7262
Rv0321,dcd,-0.0747432858819343,0.5532
Rv2291,sseB,-0.07427755808813231,0.8817
Rv1017c,prsA,-0.07406303305737251,0.6616
Rv2869c,rip,-0.07396484375879459,0.6541
Rv2303c,,-0.07251058121482026,0.9512
Rv0119,fadD7,-0.07137583157377321,0.45
Rv2673,aftC,-0.07089157546268283,0.7095
Rv2951c,,-0.07059754805440188,0.6031
Rv0764c,cyp51,-0.07056398661084694,0.8148
Rv2466c,,-0.07052335447103311,0.9982
Rv2286c,,-0.07052335447103311,0.9982
Rv0127,mak,-0.0701916959774548,0.629
Rv3025c,iscS,-0.06999112653588625,0.7493
Rv2977c,thiL,-0.06891506323919289,0.6831
Rv2538c,aroB,-0.06884215680106422,0.6448
Rv1928c,,-0.06861901328026863,0.6514
Rv1641,infC,-0.06845159081731045,0.7594
Rv1008,tatD,-0.06771184898819738,0.9801
Rv3910,,-0.06679011922025994,0.8759
Rv3332,nagA,-0.06673579046330663,0.7947
Rv0433,,-0.0660624548674465,0.6156
Rv3194c,,-0.0658197642272421,0.7032
Rv1617,pykA,-0.06555633216469754,0.5131
Rv2586c,secF,-0.06554199001204403,0.9663
Rv3497c,mce4C,-0.0649704793264468,0.7012
Rv3105c,prfB,-0.06488007433665381,0.6479
Rv3670,ephE,-0.06485298297343448,0.5079
Rv3376,,-0.0644196311823892,0.8886
Rv3244c,lpqB,-0.0635623710061124,0.9451
Rv3423c,alr,-0.06349880537055043,0.6311
Rv3038c,,-0.06326691985882128,0.5704
Rv3455c,truA,-0.06272008799027286,0.953
Rv3005c,,-0.062480409827605395,0.943
Rv3167c,,-0.062390621171937256,0.8611
Rv2908c,,-0.06116840840554206,0.9354
Rv3796,,-0.06110696820086883,0.7163
Rv2201,asnB,-0.06084483841927188,0.6965
Rv1501,,-0.06062887301357134,0.9775
Rv0825c,,-0.06054573712979559,0.9516
Rv3212,,-0.06008941965376112,0.6686
Rv1743,pknE,-0.06002456929313552,0.7482
Rv1449c,tkt,-0.0598914152322539,0.5159
Rv1747,,-0.05882494587597018,0.9004
Rv3079c,,-0.05830838156362656,0.9622
Rv1707,,-0.05817289319058399,0.8839
Rv3684,,-0.057833933366965795,0.7017
Rv1486c,,-0.05726741984818409,0.5452
Rv3548c,,-0.05638558656082184,0.9185
Rv2129c,,-0.05603814737522918,0.9026
Rv0248c,,-0.05560842726117184,0.866
Rv0130,htdZ,-0.05509126248768375,0.7183
Rv1165,typA,-0.053796741187666676,0.9897
Rv2847c,cysG,-0.053755767232748344,0.8481
Rv1594,nadA,-0.05332574769150752,0.7798
Rv0884c,serC,-0.05294961170395744,0.6476
Rv3682,ponA2,-0.050932223399992115,0.873
Rv0877,,-0.050701546613335244,0.7366
Rv2216,,-0.050567729502964585,0.825
Rv0538,,-0.05031589903739247,0.6098
Rv1321,,-0.04954850793492394,0.8706
Rv2047c,,-0.04845684802629316,0.8026
Rv3614c,espD,-0.04833680340525064,0.9212
Rv2332,mez,-0.04748350230834299,0.7354
Rv3856c,,-0.046103301105585866,0.8453
Rv2406c,,-0.045854420233896416,0.7806
Rv0392c,ndhA,-0.045640546566235105,0.9333
Rv3580c,cysS1,-0.04532993422609745,0.7241
Rv3119,moaE1,-0.04510532319225149,0.8617
Rv1533,,-0.04502329575789671,0.7134
Rv3046c,,-0.04483572977652196,0.8825
Rv2751,,-0.04463591747717384,0.938
Rv2147c,,-0.044616986094880615,0.915
Rv0526,,-0.04431464860048881,0.906
Rv2475c,,-0.04427336381800526,0.998
Rv3556c,fadA6,-0.04422664444157634,0.7254
Rv0729,xylB,-0.04406737486150856,0.5641
Rv0906,,-0.04400909076582338,0.8324
Rv1640c,lysX,-0.043642685594488584,0.9385
Rv3410c,guaB3,-0.04319131977268533,0.7066
Rv2133c,,-0.042986515243339594,0.6266
Rv0505c,serB1,-0.04261925989604353,0.8604
Rv3076,,-0.04213138961082989,0.8466
Rv0504c,,-0.041496178293589085,0.7394
Rv3710,leuA,-0.041325727574729104,0.7632
Rv1794,,-0.04066079535742519,0.9128
Rv2841c,nusA,-0.03980941573800835,0.7374
Rv0576,,-0.039717287889234926,0.7482
Rv3397c,phyA,-0.038549085686356094,0.8884
Rv1523,,-0.038455896323980575,0.9746
Rv3646c,topA,-0.03824746935696438,0.9392
Rv2252,,-0.03757261103189284,0.7573
Rv3266c,rmlD,-0.03754070196844746,0.7363
Rv0775,,-0.03745691496955673,0.7523
Rv3208A,TB9.4,-0.03677319311176264,0.9322
Rv0647c,,-0.03662020379862016,0.7716
Rv3336c,trpS,-0.03541468704296462,0.8136
Rv2065,cobH,-0.03520152640649222,0.8643
Rv0140,,-0.03505560892267503,0.9567
Rv2967c,pca,-0.03500992231602437,0.8467
Rv2374c,hrcA,-0.034339223878823176,0.5886
Rv2921c,ftsY,-0.033715506826533466,0.8384
Rv0404,fadD30,-0.03327149283067825,0.8932
Rv1255c,,-0.03251894137652861,0.8297
Rv1536,ileS,-0.032356396129115075,0.9229
Rv0438c,moeA2,-0.03159734146986416,0.7925
Rv3729,,-0.031116190265542343,0.7769
Rv2720,lexA,-0.03104429225078901,0.8809
Rv0430,,-0.03074765802745666,0.8695
Rv1609,trpE,-0.029914847477938593,0.7948
Rv1556,,-0.02931229369063821,0.8608
Rv2385,mbtJ,-0.02841695405493983,0.7802
Rv2294,,-0.02758228384385868,0.751
Rv1278,,-0.02700515302219947,0.8672
Rv0633c,,-0.026985225117888544,0.7471
Rv0349,,-0.026887234650738782,0.9468
Rv2793c,truB,-0.026600256991526017,0.9452
Rv1880c,cyp140,-0.025908969810852313,0.8481
Rv2207,cobT,-0.025295942810928167,0.8245
Rv3691,,-0.024942088847348567,0.7775
Rv2567,,-0.024826107491411217,0.983
Rv3433c,,-0.024583529223676463,0.8463
Rv1653,argJ,-0.02407957135671339,0.9457
Rv1709,scpA,-0.023396063525412646,0.8321
Rv0038,,-0.023385566832668386,0.9374
Rv3068c,pgmA,-0.023318591416828297,0.7843
Rv3868,eccA1,-0.02311689443678289,0.9234
Rv3528c,,-0.02277404062867625,0.947
Rv3602c,panC,-0.021951523146767928,0.8048
Rv0391,metZ,-0.021411476325134342,0.9695
Rv0063,,-0.021397986026699466,0.736
Rv0018c,pstP,-0.021155829667429963,0.9944
Rv2537c,aroD,-0.020323758593207876,0.9505
Rv2584c,apt,-0.02012414502513631,0.9734
Rv0184,,-0.020087525923296715,0.8842
Rv1281c,oppD,-0.018948258568270947,0.9621
Rv3262,fbiB,-0.018884714615799693,0.8477
Rv1368,lprF,-0.018749780494349944,0.7393
Rv0492c,,-0.017770860528350422,0.8541
Rv0994,moeA1,-0.017149757765031946,0.8615
Rv3287c,rsbW,-0.015570376967242644,0.9423
Rv3137,,-0.015348182042252502,0.9046
Rv3107c,agpS,-0.015011913196510384,0.8689
Rv1837c,glcB,-0.014601197025186996,0.8961
Rv1480,,-0.014541941073340194,0.9065
Rv0791c,,-0.012944039120937173,0.8817
Rv3420c,rimI,-0.012073301475184749,0.9631
Rv1238,sugC,-0.009541838539044518,0.9441
Rv0066c,icd2,-0.009416498553609357,0.925
Rv1711,,-0.009222175937066443,0.9843
Rv0265c,,-0.005736239711362861,0.891
Rv3409c,choD,-0.005681756283141679,0.956
Rv1512,epiA,-0.005357301750743103,0.8729
Rv1021,,-0.002536254522025382,0.9454
Rv2903c,lepB,-0.0023302363047410543,0.9617
Rv0543c,,-0.0022682305426546343,0.9229
