Locus tag,Locus,log_fc,pvalue
Rv1010,ksgA,-0.5894019399936435,0.0338
Rv0885,,-0.5877156855207822,0.0322
Rv1194c,,-0.5861177398522218,0.0124
Rv1601,hisB,-0.5855768977976733,0.525
Rv3308,pmmB,-0.5852242562416621,0.0436
Rv0003,recF,-0.5840180764117827,0.0039
Rv3329,,-0.5837721669549568,0.0004
Rv0070c,glyA2,-0.5814475458894431,0.0167
Rv3372,otsB2,-0.5747002849436645,0.021
Rv2284,lipM,-0.5740450329157913,0.0543
Rv2404c,lepA,-0.5721580725872079,0.0505
Rv0275c,,-0.5705852155909488,0.1683
Rv0029,,-0.5683200099153849,0.0676
Rv2818c,,-0.5656205283766315,0.019
Rv0423c,thiC,-0.5636703294882254,0.0018
Rv0941c,,-0.5621778755922184,0.2431
Rv3306c,amiB1,-0.5611809143630435,0.0249
Rv2276,cyp121,-0.5593892382786537,0.1909
Rv3441c,mrsA,-0.5582543220521853,0.0142
Rv1673c,,-0.5581927757666209,0.0017
Rv0006,gyrA,-0.5474998535397797,0.1377
Rv1395,,-0.5474619253565596,0.0648
Rv1886c,fbpB,-0.5474093259321717,0.1492
Rv2090,,-0.5469982238724922,0.0286
Rv0002,dnaN,-0.5465058940927082,0.0342
Rv0386,,-0.5452833489883805,0.0242
Rv2400c,subI,-0.5447649143523671,0.0119
Rv0694,,-0.5429573938213471,0.0274
Rv2522c,,-0.5426524456770571,0.028
Rv0189c,ilvD,-0.5414154818958447,0.0069
Rv0419,lpqM,-0.5407543554392192,0.16
Rv1569,bioF1,-0.5393276995353703,0.052
Rv1767,,-0.5374445076854775,0.0007
Rv1400c,lipI,-0.5365860663072264,0.0568
Rv1661,pks7,-0.5360311438505437,0.0669
Rv2064,cobG,-0.5351437535441206,0.0623
Rv3275c,purE,-0.5323987531513468,0.317
Rv0695,,-0.5307880869443269,0.1961
Rv0198c,zmp1,-0.5300830418468448,0.0522
Rv1161,narG,-0.5293056134910082,0.0914
Rv2244,acpM,-0.5277071842958758,0.0435
Rv0808,purF,-0.5268438595010868,0.0011
Rv0553,menC,-0.5261781805503754,0.0837
Rv2027c,dosT,-0.526035230238949,0.0095
Rv3150,nuoF,-0.5235694708177646,0.0255
Rv2632c,,-0.522738148218231,0.3275
Rv3552,,-0.5227077932852444,0.0757
Rv3785,,-0.5209682385687229,0.1601
Rv2187,fadD15,-0.5204078754773643,0.01
Rv0035,fadD34,-0.5167029479596393,0.0602
Rv0688,,-0.514771667170869,0.029
Rv3075c,,-0.5139515360847513,0.016
Rv3315c,cdd,-0.5123512766694335,0.022
Rv0509,hemA,-0.5117053284424105,0.024
Rv1427c,fadD12,-0.5101272058030983,0.0811
Rv2141c,,-0.5098723840896018,0.0018
Rv0778,cyp126,-0.5097417324998378,0.0497
Rv0501,galE2,-0.509057312870838,0.0322
Rv2821c,,-0.5014930932292108,0.3108
Rv3149,nuoE,-0.5010029289371881,0.0317
Rv0669c,,-0.5006118225189002,0.0849
Rv1920,,-0.4998891569690721,0.211
Rv3302c,glpD2,-0.4994499992083879,0.0501
Rv3841,bfrB,-0.4970937526888086,0.0083
Rv3561,fadD3,-0.4958006128583936,0.0093
Rv3225c,,-0.4946842022746771,0.0102
Rv2583c,relA,-0.49408798451793196,0.0079
Rv0893c,,-0.49295682330883284,0.1706
Rv3003c,ilvB1,-0.4911042098968523,0.0107
Rv1473,,-0.49044003122122615,0.0498
Rv3168,,-0.4897011146658872,0.012
Rv1285,cysD,-0.4893601047218023,0.0414
Rv0613c,,-0.4884830102100894,0.021
Rv3179,,-0.4875861364152024,0.0467
Rv2101,helZ,-0.4871903531461391,0.1017
Rv1862,adhA,-0.4862610235915003,0.0246
Rv2637,dedA,-0.48523395100502825,0.2862
Rv0887c,,-0.4842953653868023,0.1807
Rv1493,mutB,-0.48368022749943756,0.0359
Rv2017,,-0.48357342652463553,0.1361
Rv0331,,-0.4816236426198231,0.0464
Rv0216,,-0.48157058771150574,0.0169
Rv2780,ald,-0.4813891814132072,0.0526
Rv0272c,,-0.4783739136859149,0.0656
Rv2263,,-0.47776513513850033,0.0834
Rv0214,fadD4,-0.47366876805008656,0.0046
Rv1713,engA,-0.47263067348153504,0.0123
Rv1251c,,-0.47242147766199066,0.0672
Rv3808c,glfT2,-0.4711749962769066,0.1335
Rv2228c,,-0.4682405585627721,0.0235
Rv2000,,-0.46814658489460775,0.0156
Rv2210c,ilvE,-0.468058373996329,0.0124
Rv2218,lipA,-0.46749458484936507,0.0515
Rv3666c,dppA,-0.4674233328896929,0.1198
Rv1279,,-0.46734962814179265,0.035
Rv1267c,embR,-0.4659976462928085,0.0028
Rv1731,gabD2,-0.4653459382509737,0.0686
Rv3648c,cspA,-0.46474583661827445,0.0493
Rv0564c,gpdA1,-0.4640445846434963,0.0061
Rv2713,sthA,-0.46317083915361856,0.008
Rv1866,,-0.4621670783529263,0.0192
Rv1547,dnaE1,-0.4619195297046375,0.1307
Rv1286,,-0.46173121320326493,0.0352
Rv1774,,-0.46123240851347286,0.0068
Rv3545c,cyp125,-0.4592217872537833,0.0244
Rv0147,,-0.4580873031208131,0.0581
Rv2285,,-0.4580703858371611,0.0442
Rv1543,,-0.45736244373656115,0.076
Rv1496,,-0.45720170827710926,0.0607
Rv2184c,,-0.45606520658576366,0.8092
Rv0034,,-0.4555397972823777,0.1392
Rv2884,,-0.4554449206765801,0.5667
Rv3411c,guaB2,-0.45504482857699424,0.037
Rv2860c,glnA4,-0.45315394128927017,0.0061
Rv2629,,-0.45299149485440565,0.0137
Rv1097c,,-0.4517483880767665,0.61
Rv2245,kasA,-0.4504862894255264,0.0273
Rv1333,,-0.44973839702220364,0.0459
Rv2714,,-0.44955628781091783,0.0985
Rv1381,pyrC,-0.4494262922724052,0.0399
Rv0890c,,-0.4476869548500656,0.2356
Rv3151,nuoG,-0.44752073587169733,0.0365
Rv1633,uvrB,-0.4471985424403425,0.0711
Rv1232c,,-0.4467622205556433,0.0094
Rv0767c,,-0.4462708833541264,0.0262
Rv0068,,-0.44532541693320643,0.0055
Rv3881c,espB,-0.4448768159370208,0.049
Rv3820c,papA2,-0.4423643768002808,0.0193
Rv1315,murA,-0.4416670343746605,0.0191
Rv1284,canA,-0.4406536361464861,0.0273
Rv1058,fadD14,-0.4404159267543382,0.0151
Rv0405,pks6,-0.4403849682585064,0.0236
Rv0707,rpsC,-0.44036495796645053,0.0523
Rv2112c,dop,-0.439263267935738,0.0094
Rv3377c,,-0.43852342934781013,0.0064
Rv2048c,pks12,-0.43801874349919956,0.1298
Rv2824c,,-0.4375912851418594,0.4355
Rv0001,dnaA,-0.43698611658433034,0.0061
Rv1423,whiA,-0.43510373747162273,0.0127
Rv3917c,parB,-0.4346943117365519,0.0315
Rv2305,,-0.4344252883091334,0.0303
Rv3086,adhD,-0.43342664632249067,0.0328
Rv2827c,,-0.43322846718342134,0.0873
Rv2002,fabG3,-0.4323691571538106,0.1813
Rv3731,ligC,-0.4298972584569003,0.0688
Rv2826c,,-0.42895276603547505,0.0066
Rv1521,fadD25,-0.42894098003264824,0.0032
Rv2592c,ruvB,-0.42832824165001326,0.0912
Rv1094,desA2,-0.4282778608340781,0.5022
Rv1699,pyrG,-0.42731956225219225,0.0032
Rv0629c,recD,-0.4265149186639236,0.0904
Rv3220c,,-0.42493088573841736,0.0001
Rv1524,,-0.4242145084174917,0.0543
Rv2334,cysK1,-0.42257314950468877,0.0661
Rv2246,kasB,-0.42095854799272026,0.0592
Rv3292,,-0.42017274110268255,0.0239
Rv3080c,pknK,-0.4180653635878282,0.1825
Rv3826,fadD23,-0.4180180423458205,0.0103
Rv1335,cysO,-0.41782616103705866,0.1732
Rv1659,argH,-0.41682263735737474,0.0198
Rv3206c,moeB1,-0.41531530666371913,0.0567
Rv3586,,-0.4146444518467417,0.0745
Rv3573c,fadE34,-0.41318969414777607,0.0174
Rv2454c,,-0.41081460886729165,0.0345
Rv0379,secE2,-0.40985999687708474,0.0147
Rv2440c,obg,-0.40968367343003564,0.0145
Rv2484c,,-0.40776600737996743,0.1448
Rv2190c,,-0.4075344764507785,0.2067
Rv1198,esxL,-0.40695164695246205,0.4124
Rv3270,ctpC,-0.4063400196652418,0.0754
Rv2670c,,-0.40106441026011735,0.0251
Rv2915c,,-0.3986817548075619,0.152
Rv3084,lipR,-0.3985303507419012,0.3328
Rv0502,,-0.3963897617078037,0.1553
Rv1196,PPE18,-0.39635248667734774,0.3067
Rv1361c,PPE19,-0.39635248667734774,0.3067
Rv2173,idsA2,-0.39553223006713445,0.0905
Rv3693,,-0.3954844933871006,0.5151
Rv3560c,fadE30,-0.39542405706896966,0.0799
Rv3249c,,-0.3951488953145516,0.3495
Rv0787A,,-0.3929650008971478,0.1908
Rv2500c,fadE19,-0.3923044427042738,0.0686
Rv0107c,ctpI,-0.3922400602090541,0.3271
Rv0923c,,-0.39188076072789335,0.0441
Rv3809c,glf,-0.39161127010528135,0.0458
Rv3540c,ltp2,-0.3902780626082064,0.2513
Rv1294,thrA,-0.3896499774454368,0.0021
Rv0993,galU,-0.3863812358399779,0.0996
Rv3875,esxA,-0.38489155380281176,0.2055
Rv1160,mutT2,-0.3822399784379822,0.1165
Rv1167c,,-0.3804897828955201,0.6079
Rv0925c,,-0.3800508302307743,0.0237
Rv1683,,-0.3786424354252121,0.1084
Rv0561c,,-0.37857571613512314,0.8456
Rv1838c,vapC13,-0.37853161790595147,0.4988
Rv0644c,mmaA2,-0.3780404622303112,0.0098
Rv3314c,deoA,-0.3777028907053711,0.0936
Rv2111c,pup,-0.37764638393548167,0.067
Rv2033c,,-0.37753782224748855,0.5298
Rv2802c,,-0.3763013175653268,0.0732
Rv1599,hisD,-0.3758548942716974,0.0822
Rv0237,lpqI,-0.3753283469281439,0.1577
Rv0271c,fadE6,-0.37434346784489736,0.012
Rv1229c,mrp,-0.3738447826951946,0.049
Rv2609c,,-0.37113160295135045,0.0979
Rv2343c,dnaG,-0.3706009833946607,0.0311
Rv3786c,,-0.37041050493572836,0.0161
Rv3712,,-0.37028464813900874,0.1738
Rv1530,adh,-0.3688775963873024,0.0121
Rv3685c,cyp137,-0.36828956337497504,0.0974
Rv0766c,cyp123,-0.36799728180633984,0.1117
Rv2337c,,-0.36635214861397813,0.2143
Rv1908c,katG,-0.365896453781207,0.0646
Rv3502c,,-0.36495186735809787,0.1326
Rv2402,,-0.36451567692444137,0.0022
Rv1095,phoH2,-0.3642211048626181,0.0918
Rv3915,,-0.3642041957853131,0.1218
Rv2476c,gdh,-0.3631897600572363,0.0179
Rv1660,pks10,-0.36289911541791336,0.1106
Rv1110,lytB2,-0.3623997184794273,0.0966
Rv1872c,lldD2,-0.362254390194365,0.1015
Rv0243,fadA2,-0.36217159254149633,0.0231
Rv1647,,-0.3619138473472038,0.6477
Rv3734c,tgs2,-0.3617474842145092,0.0739
Rv1001,arcA,-0.3615300575793722,0.0279
Rv1630,rpsA,-0.36040489479259397,0.1189
Rv1283c,oppB,-0.3604044418647213,0.5565
Rv3293,pcd,-0.35846357556096964,0.0144
