Locus tag,Locus,log_fc,pvalue
Rv0887c,,-0.5986243256030487,0.1425
Rv0914c,,-0.5972575896717984,0.0283
Rv3249c,,-0.5945605227241266,0.0622
Rv1194c,,-0.5919579744684269,0.03
Rv2737c,recA,-0.5904141168462554,0.0395
Rv2530c,vapC39,-0.5849322745861629,0.2656
Rv2001,,-0.5830962832749117,0.051
Rv3169,,-0.5825521847161438,0.0111
Rv3361c,,-0.580537789147123,0.1128
Rv1141c,echA11,-0.574455509385234,0.0048
Rv1927,,-0.5737907579868391,0.0521
Rv2161c,,-0.5733480798598621,0.0567
Rv3841,bfrB,-0.5732146010440127,0.0042
Rv2827c,,-0.5717740632316572,0.0079
Rv3255c,manA,-0.5700982862210385,0.0683
Rv2818c,,-0.5655195517032336,0.044
Rv3198c,uvrD2,-0.5639808571201709,0.0305
Rv3648c,cspA,-0.559494992775564,0.0293
Rv2682c,dxs1,-0.557544376352962,0.1182
Rv2258c,,-0.5569332910867989,0.0286
Rv1018c,glmU,-0.5564575261341436,0.0037
Rv2064,cobG,-0.5541337580023917,0.1047
Rv3726,,-0.5540095116188183,0.0405
Rv0553,menC,-0.5539466196754665,0.1314
Rv3121,cyp141,-0.5532387906769598,0.0942
Rv3391,acrA1,-0.5493621451803071,0.1369
Rv1284,canA,-0.5483052882248496,0.0025
Rv2611c,,-0.5391684196920741,0.0343
Rv0913c,,-0.5383242137528423,0.0571
Rv0823c,,-0.5377259676132757,0.019
Rv0707,rpsC,-0.5371731216165124,0.0263
Rv1397c,vapC10,-0.5338372895764414,0.2135
Rv2926c,,-0.532880891154887,0.1762
Rv3188,,-0.5318865656490165,0.0152
Rv2284,lipM,-0.5313927422334748,0.1175
Rv3341,metA,-0.5305319122992451,0.2675
Rv2381c,mbtD,-0.5298527225204545,0.5539
Rv2522c,,-0.5285133327777842,0.0648
Rv0003,recF,-0.5274336849053443,0.012
Rv0029,,-0.5260513425149427,0.1072
Rv3143,,-0.5233032499838451,0.0783
Rv0852,,-0.5211392762391905,0.0444
Rv2674,msrB,-0.5207437761625724,0.0521
Rv2694c,,-0.5203350481583178,0.0056
